Date,Baton,Gun,Hands,K9,OC,Taser,Sage,Misc,Nature of Case,Violation Charged #1,#2,#3,#4,#5,SNspect INjNred,Officer Injured,Proper Procedure,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/04,Y,N,Y,N,N,Y,N,N,4000(a),2800.3 273(a),,148(a)(l),23153(a),2000l(a) Y,N, ,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/04,N,N,Y,N,N,N,N,Y,243(e)(l),243(e)(l),,,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/04,N,N,N,N,N,N,N,476,11364 148(a)(l),,,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/04,Y,N,Y,N,Y,N,Y,5150,1203.2 5150,,,,,Y,N, ,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/04,N,N,Y,N,N,N,N,5150,5150,,,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/04,N,N,Y,N,N,N,N,Y,2120l(d)(l),,11351.5 11364,,1203.2(a),,,Y,N,, ,,,,,,,,,,,,,,,,,,,,,,,
1/9/04,N,N,Y,N,N,N,N,Y,22350,3056,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
1/11/04,Y,N,Y,N,N,Y,N,N,23103,23152(a)(b) 2800.l(a),,496(d)(a),23103,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
1/12/04,N,N,Y,N,N,N,N,N,647(f),23152(a)(b),,,,,N,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,
1/14/04,N,N,Y,N,N,N,N,N,21650. l(a),148(aXl),,,,,N,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,
1/14/04,N,N,Y,N,N,N,N,Y,22411,11378 11379(a),,466,148(a)(l),,N,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,
1/16/04,N,N,Y,N,N,N,N,N,243(e)(l),243(e)(l),,,,,N,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,
1/16/04,N,N,Y,N,N,N,N,N,26710,,,,,,N,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,
1/19/04,N,N,Y,N,N,N,N,N,148(a)(l),,,,,,N,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,
20/2004,N,N,Y,N,N,N,N,N,22107,1460l(a) 148(a)(2),,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
1/20/04,Y,N,Y,N,N,Y,N,N,243(e)(l),243(e)(l) 148(a)(l),,,,,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
2112004,Y,N,Y,Y,N,N,N,N,594(b)(2),594(b)(2) 243(b),,600(a),148(a)(l),,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/04,N,N,N,Y,N,N,N,N,Y,11532,11532 1203.2,,148(a)(l),,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,
1/23/04,N,N,N,N,N,N,Y,N,N,14601.l(a),14601.l(a),,,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,
1/25/04,N,N,N,N,N,Y,N,N,415 14601.2(a),,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
1/28/04,N,N,Y,N,N,N,N,N,415,,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
1/29/04,N,N,Y,N,N,N,N,N,22107 148(a)(l),,,,,,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
1/30/04,Y,N,Y,N,N,Y,N,22350 23152(a),496(a),10851,,2800.2,20001,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/04,N,N,Y,N,N,N,N,5150 5150,,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/04,N,N,Y,N,N,N,N,602 273.5,,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/04,N,N,N,N,N,Y,N,N,Welfare chk 11378,3056,148(a)(l),,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
