Date,Baton,Gun,Hands,K9,OC,Taser,Sage,SNspect INjNred,Officer Injured
1/2/05,N,N,N,N,N,Y,N,Y,N
1/10/05,N,Y,N,N,N,N,N,N,N
1/16/05,N,N,Y,N,N,N,N,N,N
1/17/05,N,N,N,N,N,Y,N,Y,N
1/19/05,N,N,Y,N,N,Y,N,Y,N
1/21/05,N,N,Y,N,N,N,N,Y,N
1/21/05,N,N,Y,N,N,N,N,N,N
1/21/05,N,N,N,N,N,Y,N,N,N
1/24/05,Y,N,Y,Y,N,Y,N,Y,Y
1/26/05,N,N,Y,N,N,Y,N,Y,N
1/28/05,N,N,N,N,N,Y,N,N,N
1/29/05,N,N,Y,N,N,Y,N,Y,N
1/30/05,N,N,N,N,Y,N,N,N,N
2/3/05,N,N,Y,N,N,N,N,N,N
2/3/05,N,N,Y,N,N,N,N,N,N
2/4/05,N,N,Y,N,N,Y,N,Y,N
2/4/05,N,N,Y,N,Y,N,N,N,N
2/5/05,Y,N,Y,N,Y,Y,N,Y,N
2/5/05,N,N,Y,N,N,N,N,N,N
2/5/05,N,N,Y,N,N,N,N,N,N
2/8/05,N,N,Y,N,N,N,N,N,N
2/9/05,N,N,Y,Y,N,Y,Y,Y,Y
2/9/05,Y,N,Y,N,N,Y,N,Y,N
2/13/05,N,N,Y,N,N,N,N,N,N
2/13/05,N,N,Y,N,N,N,N,N,N
2/15/05,N,N,Y,N,N,N,N,N,N
2/19/05,N,N,Y,N,N,N,N,Y,N
2/21/05,N,N,Y,N,N,N,N,N,N
2/26/05,N,N,Y,N,N,N,N,N,N
2/26/05,N,N,Y,N,N,N,N,N,N
3/2/05,N,N,N,N,N,Y,N,N,N
3/3/05,N,N,N,N,N,Y,N,N,Y
3/3/05,Y,N,Y,N,N, N,N,N,N
3/5/05,N,N,N,N,N,Y,N,Y,N
3/5/05,N,N,Y,N,N,N,N,N,N
3/7/05,N,N,N,N,N,Y,N,Y,N
3/7/05,N,N,N,N,N,Y, N,N,N
3/8/05,Y,N,Y,N,N,Y,N,Y,Y
3/8/05,N,N,Y,N,N,N,N,N,N
3/11/05,N,N,Y,N,N,Y,N,Y,N
3/12/05,N,N,Y,N,N,N,N,Y,Y
3/12/05,N,N,Y,N,N,N,N,N,N
3/12/05,N,N,Y,N,N,N,N,N,N
3/12/05,N,N,Y,N,N,Y,N,Y,N
3/13/05,N,N,Y,N,N,N,N,N,N
3/16/05,N,N,Y,N,N,N,N,N,N
3/17/05,N,N,N,N,N,N,N,N,N
3/18/05,N,N,Y,N,N,Y,N,N,N
3/27/05,N,N,Y,N,N,N,N,Y,N
3/29/05,N,N,Y,N,N,Y,N,Y,N
3/31/05,Y,N,Y,N,Y,N,N,Y,N
3/31/05,N,N,N,N,N,Y,N,N,N
4/1/05,Y,N,Y,N,N,Y,N,Y,N
4/1/05,N,N,Y,N,N,Y,N,Y,N
4/2/05,N,N,Y,N,N,N,N,N,N
4/3/05,N,N,Y,N,N,N,N,N,N
4/6/05,N,N,Y,N,N,N,N,N,N
4/7/05,N,N,Y,N,N,Y,N,Y,N
4/7/05,Y,N,Y,N,N,N,N,Y,N
4/7/05,N,N,Y,N,N,N,N,N,N
4/9/05,N,N,Y,N,N,N,N,Y,N
4/12/05,N,N,Y,N,N,N,N,N,N
4/13/05,N,N,Y,N,N,N,N,N,N
4/13/05,N,N,N,N,N,N,N,N,N
4/14/05,N,N,N,N,N,N,N,N,N
4/15/05,N,N,N,N,N,N,N,N,N
4/17/05,N,N,Y,N,N,N,N,N,N
4/17/05,N,N,Y,N,N,N,N,N,N
4/17/05,N,N,Y,N, N,N,Y,N,N
4/21/05,N,N,Y,N,N,N,N,N,N
4/23/05,N,Y,N,N,N,N,N,N,N
4/24/05,N,N,Y,N,N,Y,N,Y,N
4/29/05,N,N,Y,N,N,N,N,N,N
4/29/05,N,N,Y,N,N,N,N,N,N
5/1/05,N,N,Y,N,N,N,N,N,N
5/3/05,N,N,Y,N,N,N,N,N,N
5/4/05,N,N,N,N,N,Y,N,Y,N
5/7/05,N,N,Y,N,N,N,N,Y,N
5/14/05,N,N,N,N,Y,N,N,Y,N
5/18/05,N,N,Y,N,N,N,N,N,N
5/23/05,N,N,N,N,N,N,Y,Y,N
5/27/05,N,N,Y,N,N,N,N,N,N
5/30/05,N,N,N,Y,N,N,N,Y,N
6/1/05,N,N,N,N,N,Y,N,Y,N
6/2/05,N,N,Y,N,N,Y,N,Y,N
6/6/05,N,N,Y,N,N,Y,N,Y,N
6/10/05,N,N,Y,N,N,N,N,N,N
6/14/05,N,N,Y,N,N,N,N,N,N
6/18/05,N,N,Y,N,N,Y,N,Y,N
6/18/05,Y,N,Y,N,N,N,N,N,N
6/19/05,N,N,Y,N,N,Y,N,Y,Y
6/26/05,N,N,Y,N,N,N,N,Y,Y
6/30/05,N,N,Y,N,N,N,N,N,N
7/2/05,N,N,Y,N,N,N,N,N,N
7/2/05,Y,N,Y,N,N,Y,N,Y,N
7/3/05,N,N,Y,N,N,N,N,N,Y
7/3/05,N,N,Y,N,N,N,N,N,N
7/4/05,N,N,Y,N,N,N,N,N,N
7/4/05,N,N,N,N,N,Y,N,Y,N
7/8/05,N,N,Y,N,N,Y,N,Y,N
7/10/05,N,N,Y,N,N,Y,N,Y,N
7/14/05,N,N,Y,N,N,Y,N,Y,N
7/16/05,N,N,Y,N,N,N,N,N,N
7/16/05,N,N,N,N,N,Y,N,Y,N
7/18/05,N,N,Y,N,N,N,N,N,N
7/19/05,N,N,Y,N,N,Y,N,Y,N
7/20/05,Y,N,N,N,N,Y,N,Y,N
7/22/05,N,N,Y,N,N,Y,N,Y,N
7/25/05,N,N,Y,N,N,N,N,N,N
7/27/05,N,N,Y,Y,N, N,N,Y,N
7/28/05,N,N,Y,N,N,N, N,N,N
