Date,Baton,Gun,Hands,K9,OC,Taser,Sage,Suspect Injured,Officer Injured,Day,Month,Year
2005-01-02,0,0,0,0,0,1,0,1,0,2,1,2005
2005-01-10,0,1,0,0,0,0,0,0,0,10,1,2005
2005-01-16,0,0,1,0,0,0,0,0,0,16,1,2005
2005-01-17,0,0,0,0,0,1,0,1,0,17,1,2005
2005-01-19,0,0,1,0,0,1,0,1,0,19,1,2005
2005-01-21,0,0,1,0,0,0,0,1,0,21,1,2005
2005-01-21,0,0,1,0,0,0,0,0,0,21,1,2005
2005-01-21,0,0,0,0,0,1,0,0,0,21,1,2005
2005-01-24,1,0,1,1,0,1,0,1,1,24,1,2005
2005-01-26,0,0,1,0,0,1,0,1,0,26,1,2005
2005-01-28,0,0,0,0,0,1,0,0,0,28,1,2005
2005-01-29,0,0,1,0,0,1,0,1,0,29,1,2005
2005-01-30,0,0,0,0,1,0,0,0,0,30,1,2005
2005-02-03,0,0,1,0,0,0,0,0,0,3,2,2005
2005-02-03,0,0,1,0,0,0,0,0,0,3,2,2005
2005-02-04,0,0,1,0,0,1,0,1,0,4,2,2005
2005-02-04,0,0,1,0,1,0,0,0,0,4,2,2005
2005-02-05,1,0,1,0,1,1,0,1,0,5,2,2005
2005-02-05,0,0,1,0,0,0,0,0,0,5,2,2005
2005-02-05,0,0,1,0,0,0,0,0,0,5,2,2005
2005-02-08,0,0,1,0,0,0,0,0,0,8,2,2005
2005-02-09,0,0,1,1,0,1,1,1,1,9,2,2005
2005-02-09,1,0,1,0,0,1,0,1,0,9,2,2005
2005-02-13,0,0,1,0,0,0,0,0,0,13,2,2005
2005-02-13,0,0,1,0,0,0,0,0,0,13,2,2005
2005-02-15,0,0,1,0,0,0,0,0,0,15,2,2005
2005-02-19,0,0,1,0,0,0,0,1,0,19,2,2005
2005-02-21,0,0,1,0,0,0,0,0,0,21,2,2005
2005-02-26,0,0,1,0,0,0,0,0,0,26,2,2005
2005-02-26,0,0,1,0,0,0,0,0,0,26,2,2005
2005-03-02,0,0,0,0,0,1,0,0,0,2,3,2005
2005-03-03,0,0,0,0,0,1,0,0,1,3,3,2005
2005-03-03,1,0,1,0,0,0,0,0,0,3,3,2005
2005-03-05,0,0,0,0,0,1,0,1,0,5,3,2005
2005-03-05,0,0,1,0,0,0,0,0,0,5,3,2005
2005-03-07,0,0,0,0,0,1,0,1,0,7,3,2005
2005-03-07,0,0,0,0,0,1,0,0,0,7,3,2005
2005-03-08,1,0,1,0,0,1,0,1,1,8,3,2005
2005-03-08,0,0,1,0,0,0,0,0,0,8,3,2005
2005-03-11,0,0,1,0,0,1,0,1,0,11,3,2005
2005-03-12,0,0,1,0,0,0,0,1,1,12,3,2005
2005-03-12,0,0,1,0,0,0,0,0,0,12,3,2005
2005-03-12,0,0,1,0,0,0,0,0,0,12,3,2005
2005-03-12,0,0,1,0,0,1,0,1,0,12,3,2005
2005-03-13,0,0,1,0,0,0,0,0,0,13,3,2005
2005-03-16,0,0,1,0,0,0,0,0,0,16,3,2005
2005-03-17,0,0,0,0,0,0,0,0,0,17,3,2005
2005-03-18,0,0,1,0,0,1,0,0,0,18,3,2005
2005-03-27,0,0,1,0,0,0,0,1,0,27,3,2005
2005-03-29,0,0,1,0,0,1,0,1,0,29,3,2005
2005-03-31,1,0,1,0,1,0,0,1,0,31,3,2005
2005-03-31,0,0,0,0,0,1,0,0,0,31,3,2005
2005-04-01,1,0,1,0,0,1,0,1,0,1,4,2005
2005-04-01,0,0,1,0,0,1,0,1,0,1,4,2005
2005-04-02,0,0,1,0,0,0,0,0,0,2,4,2005
2005-04-03,0,0,1,0,0,0,0,0,0,3,4,2005
2005-04-06,0,0,1,0,0,0,0,0,0,6,4,2005
2005-04-07,0,0,1,0,0,1,0,1,0,7,4,2005
2005-04-07,1,0,1,0,0,0,0,1,0,7,4,2005
2005-04-07,0,0,1,0,0,0,0,0,0,7,4,2005
2005-04-09,0,0,1,0,0,0,0,1,0,9,4,2005
2005-04-12,0,0,1,0,0,0,0,0,0,12,4,2005
2005-04-13,0,0,1,0,0,0,0,0,0,13,4,2005
2005-04-13,0,0,0,0,0,0,0,0,0,13,4,2005
2005-04-14,0,0,0,0,0,0,0,0,0,14,4,2005
2005-04-15,0,0,0,0,0,0,0,0,0,15,4,2005
2005-04-17,0,0,1,0,0,0,0,0,0,17,4,2005
2005-04-17,0,0,1,0,0,0,0,0,0,17,4,2005
2005-04-17,0,0,1,0,0,0,1,0,0,17,4,2005
2005-04-21,0,0,1,0,0,0,0,0,0,21,4,2005
2005-04-23,0,1,0,0,0,0,0,0,0,23,4,2005
2005-04-24,0,0,1,0,0,1,0,1,0,24,4,2005
2005-04-29,0,0,1,0,0,0,0,0,0,29,4,2005
